Ranking,World Rank,University,Det.,Country,Impact Rank,Openness Rank,Excellence Rank,World Ranking,Continental Ranking,Country Rank,Impact,Openness,Excellence
2,392,University of the Witwatersrand,,,632,387,419,392,2,2,632,387,419
4,441,Stellenbosch University,,,671,350,500,441,4,4,671,350,500
6,525,Alexandria University,,,804,814,521,525,5,2,804,814,521
8,612,University of Johannesburg,,,1641,717,397,612,6,6,1641,717,397
10,883,Mansoura University,,,3869,678,442,883,14,3,3869,678,442
12,925,University of the Western Cape,,,1244,958,1146,925,8,8,1244,958,1146
14,1069,American University in Cairo,,,951,1195,1659,1069,21,6,951,1195,1659
16,1080,University of Ghana,,,1980,827,1154,1080,10,1,1980,827,1154
18,1089,Zagazig University,,,5603,791,470,1089,23,7,5603,791,470
20,1136,Rhodes University,,,1382,1209,1462,1136,13,10,1382,1209,1462
22,1158,Benha University,,,3877,1140,731,1158,24,8,3877,1140,731
24,1184,Addis Ababa University,,,2435,1147,1137,1184,15,1,2435,1147,1137
26,1293,University of Lagos,,,1895,1048,1629,1293,16,2,1895,1048,1629
28,1356,Tanta University,,,6768,912,664,1356,31,11,6768,912,664
30,1381,University of Nigeria,,,3569,899,1285,1381,18,3,3569,899,1285
32,1457,Covenant University Ota,,,2902,1203,1536,1457,20,5,2902,1203,1536
34,1550,Université Mohammed V de Rabat,,,6663,1179,871,1550,39,2,6663,1179,871
36,1582,Helwan University,,,5484,1227,1103,1582,43,13,5484,1227,1103
38,1626,Suez Canal University,,,6287,1340,1005,1626,46,15,6287,1340,1005
40,1685,Minia University,,,7683,1403,872,1685,49,16,7683,1403,872
42,1719,Egypt Japan University of Science & Technology,,,2009,2339,2246,1719,51,17,2009,2339,2246
44,1774,Durban University of Technology,,,3406,1792,1885,1774,25,14,3406,1792,1885
46,1854,Beni Suef University,,,9521,1032,894,1854,57,19,9521,1032,894
48,1869,University of Khartoum,,,2906,1768,2250,1869,61,1,2906,1768,2250
50,1938,Ladoke Akintola University of Technology,,,2226,1410,2781,1938,26,7,2226,1410,2781
52,1960,Ahmadu Bello University,,,4465,1222,2021,1960,28,8,4465,1222,2021
54,2015,Université Sidi Mohammed Ben Abdellah Fes,,,8076,1358,1287,2015,72,4,8076,1358,1287
56,2085,British University in Egypt,,,5286,2537,1725,2085,73,21,5286,2537,1725
58,2133,Universidade Eduardo Mondlane,,,1170,5721,2950,2133,31,1,1170,5721,2950
60,2139,University of Zimbabwe,,,4726,2026,2092,2139,33,1,4726,2026,2092
62,2185,Fayoum University,,,8970,1777,1278,2185,79,22,8970,1777,1278
64,2229,Sudan University of Science & Technology,,,1599,3124,3397,2229,82,2,1599,3124,3397
66,2309,Bahir Dar University,,,6428,2097,1927,2309,37,3,6428,2097,1927
68,2326,University of Fort Hare,,,5267,1807,2344,2326,39,15,5267,1807,2344
70,2379,University of Zambia,,,4966,1609,2577,2379,40,1,4966,1609,2577
72,2419,Université des Frères Mentouri Constantine 1 (Ex Université Mentouri),,,5505,1355,2561,2419,94,1,5505,1355,2561
74,2461,Université Abou Bekr Belkaid Tlemcen,,,5372,2134,2482,2461,96,3,5372,2134,2482
76,2472,Jomo Kenyatta University of Agriculture and Technology,,,4600,1509,2898,2472,42,3,4600,1509,2898
78,2498,Université Moulay Ismail Meknès,,,8991,2079,1671,2498,101,7,8991,2079,1671
80,2522,Bayero University Kano,,,8240,1597,1976,2522,44,12,8240,1597,1976
82,2542,Université Cheikh Anta Diop de Dakar,,,1092,8183,2601,2542,46,1,1092,8183,2601
84,2601,Adekunle Ajasin University,,,2281,2800,3747,2601,48,14,2281,2800,3747
86,2618,Port Said University,,,10110,1855,1674,2618,106,24,10110,1855,1674
88,2655,Moi University,,,4417,1880,3168,2655,50,5,4417,1880,3168
90,2700,University of Calabar,,,8075,1235,2440,2700,52,15,8075,1235,2440
92,2714,University of Gondar,,,9636,2251,1850,2714,54,4,9636,2251,1850
94,2731,University of Botswana,,,4866,4114,2701,2731,55,1,4866,4114,2701
96,2739,Mekelle University,,,9218,2104,2004,2739,56,5,9218,2104,2004
98,2793,German University in Cairo,,,6028,2261,2842,2793,117,25,6028,2261,2842
100,2805,Damietta University,,,10666,1726,1905,2805,119,26,10666,1726,1905
